ID	Name	Bees	Hive_ID	Material	Date_Harvest	Date_Extracted	lat_lon	Replicate	Sequencing_Batch	New_ID
FlaviaM-16S-67	FlaviaM-16S-67	Tetragonula hockingsi	H5	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H5_Cerumen_2019_B2
FlaviaM-16S-68	FlaviaM-16S-68	Tetragonula hockingsi	H6	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H6_Cerumen_2019_B2
18	b2p70-1-A1	Austroplebia australis	A1	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	A1_Pollen_2017_B1
19	b2p70-2-A2	Austroplebia australis	A2	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	A2_Pollen_2017_B1
20	b2p70-3-A3	Austroplebia australis	A3	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	A3_Pollen_2017_B1
21	b2p70-4-H1	Tetragonula hockingsi	H1	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	H1_Pollen_2017_B1
22	b2p70-5-H2	Tetragonula hockingsi	H2	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	H2_Pollen_2017_B1
23	b2p70-6-H3	Tetragonula hockingsi	H3	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	H3_Pollen_2017_B1
24	b2p70-7-C1	Tetragonula carbonaria	C1	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	C1_Pollen_2017_B1
25	b2p70-8-C2	Tetragonula carbonaria	C2	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	C2_Pollen_2017_B1
26	b2p70-9-C3	Tetragonula carbonaria	C3	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B1	C3_Pollen_2017_B1
